protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.85489,0.7611336032388664,3.251982132,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.84625,0.7911111111111111,3.404657917,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.86378,0.7439024390243902,2.344258996,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.81993,0.7288888888888889,2.4071357730000003,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.84729,0.768888888888889,2.83696953,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.85952,0.7479674796747968,2.414731956,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.87944,0.7732793522267206,3.250936131,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.86015,0.7854251012145749,3.269024961,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.89449,0.7692307692307692,3.289305699,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.86485,0.7439024390243902,2.388703004,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.82713,0.7439024390243902,2.440678087,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.76458,0.7974683544303798,3.075516925,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.84437,0.7459016393442623,2.519574924,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.8878,0.8081632653061225,2.867419898,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.88463,0.7894736842105263,3.17714789,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011090_Drosophila_guanche_part1_of1,0.84114,0.7894736842105263,3.17714789,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.83056,0.7398373983739837,2.324636334,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.88144,0.7935222672064777,2.824096697,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.82902,0.7428571428571429,2.489706824,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.84549,0.763265306122449,3.042140965,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.86768,0.7551020408163265,2.446229216,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.84922,0.775330396475771,2.744436218,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.86753,0.7398373983739837,2.417788639,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.85429,0.7777777777777778,3.325561316,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.85582,0.7835497835497836,3.406915035,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.87737,0.7439024390243902,2.346916682,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.77405,0.7884615384615384,3.498889568,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.84977,0.7886178861788617,3.372599502,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.85366,0.7854251012145749,3.473785851,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.8607,0.7439024390243902,2.405278379,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.90879,0.7813765182186234,3.254924308,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.86287,0.7398373983739837,2.409153522,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.88535,0.7813765182186234,3.2529506,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.89334,0.8137651821862348,3.112983144,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.87094,0.7357723577235773,2.293490716,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.84761,0.7591836734693878,2.525850477,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87603,0.7875,2.794136077,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.85373,0.7591836734693878,2.510945688,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.88881,0.7836734693877551,2.756872679,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.8766,0.7755102040816326,2.86406563,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.86427,0.7346938775510203,2.46926951,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.88185,0.7714285714285715,2.752554811,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.90978,0.8056680161943319,3.161133935,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.85298,0.7663934426229508,2.784010526,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.89374,0.7398373983739837,2.320598155,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.90412,0.8137651821862348,3.1090301570000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.86428,0.7357723577235773,2.293490716,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.83521,0.7357723577235773,2.429569443,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.861,0.7398373983739837,2.432721413,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.88361,0.7732793522267206,3.263037812,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.82457,0.7439024390243902,2.409183186,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.91541,0.7813765182186234,3.249059231,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.86986,0.7327935222672064,2.429227192,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.8262,0.7706422018348624,3.353811154,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.85113,0.7950819672131147,3.37347388,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.89084,0.7935222672064777,3.1339151750000003,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.87076,0.7540983606557377,2.754220628,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.87127,0.7357723577235773,2.306449718,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.85762,0.736842105263158,2.424940103,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.89134,0.7732793522267206,3.245926675,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.87917,0.7692307692307692,3.253235027,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.8682,0.7408906882591093,2.445249881,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.84892,0.7449392712550607,2.436694273,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.87946,0.7732793522267206,3.251080963,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.85913,0.7398373983739837,2.421000371,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.88286,0.7732793522267206,3.25119851,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.86076,0.7346938775510203,2.46926951,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.89642,0.7673469387755102,2.779290769,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.89036,0.7967479674796748,2.974701374,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.84505,0.7317073170731707,2.38613059,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92424,0.7813765182186234,3.2529506,Cluster_4,Cluster_1,Cluster_1_Cluster_4
P005064008787_Drosophila_albomicans_part1_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.93153,0.7886178861788617,2.754566024,Cluster_1,Cluster_4,Cluster_1_Cluster_4
P005064008787_Drosophila_albomicans_part1_of2,P005064008787_Drosophila_albomicans_part2_of2,0.90267,0.4471544715447154,0.852182497,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005064013138_Drosophila_albomicans_part1_of1,0.8824,0.6652892561983471,1.998176176,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part1_of2,0.91192,0.4858299595141701,0.946918604,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part2_of2,0.90974,0.631578947368421,1.872247395,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005064008787_Drosophila_albomicans_part1_of2,P005065003751_Drosophila_ananassae_part1_of1,0.90048,0.6707818930041152,1.960212272,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part1_of2,0.8943,0.6942148760330579,2.068851001,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part2_of2,0.854,0.2770562770562771,0.389227496,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.89515,0.6790123456790124,1.984328217,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.90995,0.4331983805668016,1.046643528,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.87234,0.6707818930041152,1.952869422,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.89814,0.4817813765182186,0.981647518,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.88886,0.4577777777777777,1.134323303,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.90058,0.6666666666666667,1.893107762,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005071004180_Drosophila_busckii_part1_of1,0.85727,0.6666666666666667,1.955984539,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005071007432_Drosophila_busckii_part1_of1,0.90212,0.2831858407079646,0.4297896999999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005072008715_Drosophila_elegans_part1_of1,0.89739,0.6748971193415638,1.963580722,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005072008716_Drosophila_elegans_part1_of1,0.91115,0.4655870445344129,0.980601517,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005073012561_Drosophila_erecta_part1_of1,0.89681,0.4331983805668016,0.998690347,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.94209,0.4412955465587044,1.018971085,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.89992,0.6748971193415638,1.93755177,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.8643,0.6831275720164609,1.989526853,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.7807,0.4514767932489452,0.805182311,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.87543,0.6859504132231404,2.06842369,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.94805,0.3536585365853658,0.5970852839999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077009626_Drosophila_guanche_part1_of1,0.93407,0.4210526315789473,0.906813276,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077011090_Drosophila_guanche_part1_of1,0.88455,0.4210526315789473,0.906813276,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005077011621_Drosophila_guanche_part1_of1,0.87026,0.6707818930041152,1.8734851,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005078005510_Drosophila_hydei_part1_of1,0.93979,0.3048780487804878,0.467967981,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005078006118_Drosophila_hydei_part1_of1,0.86789,0.6942148760330579,2.03855559,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005079010340_Drosophila_innubila_part1_of1,0.87556,0.4715447154471545,0.935758525,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part1_of2,0.90451,0.6776859504132231,1.995077982,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part2_of2,0.8865,0.1798245614035087,0.2175178019999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005080010494_Drosophila_ironensis_part1_of1,0.90188,0.6625514403292181,1.966637405,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005080010499_Drosophila_ironensis_part1_of1,0.89407,0.4666666666666667,1.055226702,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005080012110_Drosophila_ironensis_part1_of1,0.90594,0.4415584415584416,1.136580421,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.90266,0.6625514403292181,1.895765448,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.8066,0.5240384615384616,1.228554954,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.90022,0.4796747967479674,1.102264888,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.89625,0.540650406504065,1.203451237,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.88072,0.6748971193415638,1.954127145,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005082012529_Drosophila_mauritiana_part1_of1,0.94966,0.4412955465587044,0.984589694,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005083008909_Drosophila_melanogaster_part1_of1,0.89798,0.6707818930041152,1.958002288,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005083008910_Drosophila_melanogaster_part1_of1,0.92106,0.4453441295546558,0.982615986,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005084006084_Drosophila_miranda_part1_of1,0.94203,0.4291497975708502,0.8426485300000001,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005084006085_Drosophila_miranda_part1_of1,0.90531,0.6625514403292181,1.842339482,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005085005288_Drosophila_mojavensis_part1_of1,0.87344,0.6900826446280992,2.074699243,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005085005289_Drosophila_mojavensis_part1_of1,0.92612,0.3070539419087137,0.438007361,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005086002813_Drosophila_navojoa_part1_of1,0.8848,0.6900826446280992,2.059794454,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005086003013_Drosophila_navojoa_part1_of1,0.94828,0.2764227642276422,0.400743963,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005087007713_Drosophila_novamexicana_part1_of1,0.9261,0.3333333333333333,0.507936914,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005087007760_Drosophila_novamexicana_part1_of1,0.89771,0.6694214876033058,2.018118276,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005087007761_Drosophila_novamexicana_part1_of1,0.93347,0.2682926829268293,0.396426095,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005088004783_Drosophila_obscura_part1_of1,0.95644,0.4291497975708502,0.890799321,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005088004859_Drosophila_obscura_part1_of1,0.89456,0.6721311475409837,1.802504896,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005064008787_Drosophila_albomicans_part1_of2,P005088004876_Drosophila_obscura_part1_of1,0.90423,0.6584362139917695,1.869446921,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005089006354_Drosophila_persimilis_part1_of1,0.95642,0.4331983805668016,0.838695543,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005089006356_Drosophila_persimilis_part1_of1,0.88227,0.6625514403292181,1.842339482,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005091006300_Drosophila_rhopaloa_part1_of1,0.86945,0.6584362139917695,1.978418209,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005092009946_Drosophila_santomea_part1_of1,0.89733,0.6707818930041152,1.981570179,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005064008787_Drosophila_albomicans_part1_of2,P005092009948_Drosophila_santomea_part1_of1,0.91678,0.437246963562753,0.992703198,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005064008787_Drosophila_albomicans_part1_of2,P005093013422_Drosophila_sechellia_part1_of1,0.86151,0.6707818930041152,1.958031952,Cluster_1,Cluster_2,Cluster_1_Cluster_2
