protein1,protein2,tm_score,sequence_divergence,patristic_distance
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.86753,0.7398373983739837,2.417788639
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.85429,0.7777777777777778,3.325561316
B4KE22_Drosophila_mojavensisREF_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.85582,0.7835497835497836,3.406915035
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.87737,0.7439024390243902,2.346916682
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.77405,0.7884615384615384,3.498889568
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.84977,0.7886178861788617,3.372599502
B4KE22_Drosophila_mojavensisREF_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.85366,0.7854251012145749,3.4737858509999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.8607,0.7439024390243902,2.405278379
B4KE22_Drosophila_mojavensisREF_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.90879,0.7813765182186234,3.2549243079999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.86287,0.7398373983739837,2.409153522
B4KE22_Drosophila_mojavensisREF_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.88535,0.7813765182186234,3.2529506
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.89334,0.8137651821862348,3.112983144
B4KE22_Drosophila_mojavensisREF_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.87094,0.7357723577235773,2.293490716
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.84761,0.7591836734693878,2.525850477
B4KE22_Drosophila_mojavensisREF_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.87603,0.7875,2.794136077
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.85373,0.7591836734693878,2.510945688
B4KE22_Drosophila_mojavensisREF_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.88881,0.7836734693877551,2.7568726789999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.8766,0.7755102040816326,2.86406563
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.86427,0.7346938775510203,2.46926951
B4KE22_Drosophila_mojavensisREF_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.88185,0.7714285714285715,2.752554811
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.90978,0.8056680161943319,3.161133935
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.85298,0.7663934426229508,2.784010526
B4KE22_Drosophila_mojavensisREF_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.89374,0.7398373983739837,2.320598155
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.90412,0.8137651821862348,3.1090301570000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.86428,0.7357723577235773,2.293490716
B4KE22_Drosophila_mojavensisREF_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.83521,0.7357723577235773,2.429569443
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.861,0.7398373983739837,2.432721413
B4KE22_Drosophila_mojavensisREF_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.88361,0.7732793522267206,3.263037812
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.82457,0.7439024390243902,2.409183186
B4KE22_Drosophila_mojavensisREF_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.91541,0.7813765182186234,3.249059231
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.86986,0.7327935222672064,2.429227192
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.8262,0.7706422018348624,3.3538111539999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.85113,0.7950819672131147,3.3734738799999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.89084,0.7935222672064777,3.1339151750000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.87076,0.7540983606557377,2.7542206279999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.87127,0.7357723577235773,2.306449718
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.85762,0.736842105263158,2.424940103
B4KE22_Drosophila_mojavensisREF_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.89134,0.7732793522267206,3.2459266749999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.87917,0.7692307692307692,3.2532350269999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.8682,0.7408906882591093,2.445249881
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.84892,0.7449392712550607,2.436694273
B4KE22_Drosophila_mojavensisREF_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.87946,0.7732793522267206,3.2510809629999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.85913,0.7398373983739837,2.421000371
B4KE22_Drosophila_mojavensisREF_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.88286,0.7732793522267206,3.25119851
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.86076,0.7346938775510203,2.46926951
B4KE22_Drosophila_mojavensisREF_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.89642,0.7673469387755102,2.779290769
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.89036,0.7967479674796748,2.974701374
B4KE22_Drosophila_mojavensisREF_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.84505,0.7317073170731707,2.38613059
B4KE22_Drosophila_mojavensisREF_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92424,0.7813765182186234,3.2529506
P005064008787_Drosophila_albomicans_part1_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.93153,0.7886178861788617,2.754566024
P005064008787_Drosophila_albomicans_part1_of2,P005064008787_Drosophila_albomicans_part2_of2,0.90267,0.44715447154471544,0.852182497
P005064008787_Drosophila_albomicans_part1_of2,P005064013138_Drosophila_albomicans_part1_of1,0.8824,0.6652892561983471,1.9981761759999999
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part1_of2,0.91192,0.4858299595141701,0.946918604
P005064008787_Drosophila_albomicans_part1_of2,P005065001328_Drosophila_ananassae_part2_of2,0.90974,0.631578947368421,1.872247395
P005064008787_Drosophila_albomicans_part1_of2,P005065003751_Drosophila_ananassae_part1_of1,0.90048,0.6707818930041152,1.9602122720000001
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part1_of2,0.8943,0.6942148760330579,2.068851001
P005064008787_Drosophila_albomicans_part1_of2,P005066011807_Drosophila_arizonae_part2_of2,0.854,0.2770562770562771,0.389227496
P005064008787_Drosophila_albomicans_part1_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.89515,0.6790123456790124,1.984328217
P005064008787_Drosophila_albomicans_part1_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.90995,0.4331983805668016,1.046643528
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.87234,0.6707818930041152,1.952869422
P005064008787_Drosophila_albomicans_part1_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.89814,0.4817813765182186,0.981647518
P005064008787_Drosophila_albomicans_part1_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.88886,0.45777777777777773,1.134323303
P005064008787_Drosophila_albomicans_part1_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.90058,0.6666666666666667,1.893107762
P005064008787_Drosophila_albomicans_part1_of2,P005071004180_Drosophila_busckii_part1_of1,0.85727,0.6666666666666667,1.955984539
P005064008787_Drosophila_albomicans_part1_of2,P005071007432_Drosophila_busckii_part1_of1,0.90212,0.2831858407079646,0.42978969999999994
P005064008787_Drosophila_albomicans_part1_of2,P005072008715_Drosophila_elegans_part1_of1,0.89739,0.6748971193415638,1.9635807220000001
P005064008787_Drosophila_albomicans_part1_of2,P005072008716_Drosophila_elegans_part1_of1,0.91115,0.4655870445344129,0.980601517
P005064008787_Drosophila_albomicans_part1_of2,P005073012561_Drosophila_erecta_part1_of1,0.89681,0.4331983805668016,0.998690347
P005064008787_Drosophila_albomicans_part1_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.94209,0.4412955465587044,1.018971085
P005064008787_Drosophila_albomicans_part1_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.89992,0.6748971193415638,1.93755177
P005064008787_Drosophila_albomicans_part1_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.8643,0.6831275720164609,1.989526853
P005064008787_Drosophila_albomicans_part1_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.7807,0.4514767932489452,0.805182311
P005064008787_Drosophila_albomicans_part1_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.87543,0.6859504132231404,2.06842369
P005064008787_Drosophila_albomicans_part1_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.94805,0.35365853658536583,0.5970852839999999
P005064008787_Drosophila_albomicans_part1_of2,P005077009626_Drosophila_guanche_part1_of1,0.93407,0.42105263157894735,0.9068132760000001
P005064008787_Drosophila_albomicans_part1_of2,P005077011090_Drosophila_guanche_part1_of1,0.88455,0.42105263157894735,0.9068132760000001
P005064008787_Drosophila_albomicans_part1_of2,P005077011621_Drosophila_guanche_part1_of1,0.87026,0.6707818930041152,1.8734851000000001
P005064008787_Drosophila_albomicans_part1_of2,P005078005510_Drosophila_hydei_part1_of1,0.93979,0.30487804878048785,0.467967981
P005064008787_Drosophila_albomicans_part1_of2,P005078006118_Drosophila_hydei_part1_of1,0.86789,0.6942148760330579,2.03855559
P005064008787_Drosophila_albomicans_part1_of2,P005079010340_Drosophila_innubila_part1_of1,0.87556,0.4715447154471545,0.935758525
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part1_of2,0.90451,0.6776859504132231,1.995077982
P005064008787_Drosophila_albomicans_part1_of2,P005079011844_Drosophila_innubila_part2_of2,0.8865,0.17982456140350878,0.21751780199999998
P005064008787_Drosophila_albomicans_part1_of2,P005080010494_Drosophila_ironensis_part1_of1,0.90188,0.6625514403292181,1.9666374050000002
P005064008787_Drosophila_albomicans_part1_of2,P005080010499_Drosophila_ironensis_part1_of1,0.89407,0.4666666666666667,1.055226702
P005064008787_Drosophila_albomicans_part1_of2,P005080012110_Drosophila_ironensis_part1_of1,0.90594,0.4415584415584416,1.136580421
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.90266,0.6625514403292181,1.895765448
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.8066,0.5240384615384616,1.228554954
P005064008787_Drosophila_albomicans_part1_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.90022,0.4796747967479674,1.1022648879999999
P005064008787_Drosophila_albomicans_part1_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.89625,0.540650406504065,1.203451237
P005064008787_Drosophila_albomicans_part1_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.88072,0.6748971193415638,1.954127145
P005064008787_Drosophila_albomicans_part1_of2,P005082012529_Drosophila_mauritiana_part1_of1,0.94966,0.4412955465587044,0.984589694
P005064008787_Drosophila_albomicans_part1_of2,P005083008909_Drosophila_melanogaster_part1_of1,0.89798,0.6707818930041152,1.9580022879999999
P005064008787_Drosophila_albomicans_part1_of2,P005083008910_Drosophila_melanogaster_part1_of1,0.92106,0.44534412955465585,0.982615986
P005064008787_Drosophila_albomicans_part1_of2,P005084006084_Drosophila_miranda_part1_of1,0.94203,0.42914979757085026,0.8426485300000001
P005064008787_Drosophila_albomicans_part1_of2,P005084006085_Drosophila_miranda_part1_of1,0.90531,0.6625514403292181,1.842339482
P005064008787_Drosophila_albomicans_part1_of2,P005085005288_Drosophila_mojavensis_part1_of1,0.87344,0.6900826446280992,2.074699243
P005064008787_Drosophila_albomicans_part1_of2,P005085005289_Drosophila_mojavensis_part1_of1,0.92612,0.3070539419087137,0.438007361
P005064008787_Drosophila_albomicans_part1_of2,P005086002813_Drosophila_navojoa_part1_of1,0.8848,0.6900826446280992,2.059794454
P005064008787_Drosophila_albomicans_part1_of2,P005086003013_Drosophila_navojoa_part1_of1,0.94828,0.2764227642276422,0.40074396300000004
P005064008787_Drosophila_albomicans_part1_of2,P005087007713_Drosophila_novamexicana_part1_of1,0.9261,0.33333333333333337,0.507936914
P005064008787_Drosophila_albomicans_part1_of2,P005087007760_Drosophila_novamexicana_part1_of1,0.89771,0.6694214876033058,2.018118276
P005064008787_Drosophila_albomicans_part1_of2,P005087007761_Drosophila_novamexicana_part1_of1,0.93347,0.2682926829268293,0.396426095
P005064008787_Drosophila_albomicans_part1_of2,P005088004783_Drosophila_obscura_part1_of1,0.95644,0.42914979757085026,0.890799321
P005064008787_Drosophila_albomicans_part1_of2,P005088004859_Drosophila_obscura_part1_of1,0.89456,0.6721311475409837,1.8025048959999999
P005064008787_Drosophila_albomicans_part1_of2,P005088004876_Drosophila_obscura_part1_of1,0.90423,0.6584362139917695,1.8694469210000002
P005064008787_Drosophila_albomicans_part1_of2,P005089006354_Drosophila_persimilis_part1_of1,0.95642,0.4331983805668016,0.838695543
P005064008787_Drosophila_albomicans_part1_of2,P005089006356_Drosophila_persimilis_part1_of1,0.88227,0.6625514403292181,1.842339482
P005064008787_Drosophila_albomicans_part1_of2,P005091006300_Drosophila_rhopaloa_part1_of1,0.86945,0.6584362139917695,1.978418209
P005064008787_Drosophila_albomicans_part1_of2,P005092009946_Drosophila_santomea_part1_of1,0.89733,0.6707818930041152,1.981570179
P005064008787_Drosophila_albomicans_part1_of2,P005092009948_Drosophila_santomea_part1_of1,0.91678,0.43724696356275305,0.9927031980000001
P005064008787_Drosophila_albomicans_part1_of2,P005093013422_Drosophila_sechellia_part1_of1,0.86151,0.6707818930041152,1.958031952
P005064008787_Drosophila_albomicans_part1_of2,P005093013423_Drosophila_sechellia_part1_of1,0.95801,0.44534412955465585,0.978724617
P005064008787_Drosophila_albomicans_part1_of2,P005095004731_Drosophila_setifemur_part1_of1,0.90165,0.6680327868852459,1.978075958
P005064008787_Drosophila_albomicans_part1_of2,P005095011902_Drosophila_setifemur_part1_of1,0.84861,0.47706422018348627,1.08347654
P005064008787_Drosophila_albomicans_part1_of2,P005095011903_Drosophila_setifemur_part1_of1,0.89413,0.49590163934426235,1.103139266
P005064008787_Drosophila_albomicans_part1_of2,P005097008429_Drosophila_subobscura_part1_of2,0.9351,0.40485829959514175,0.863580561
P005064008787_Drosophila_albomicans_part1_of2,P005097008429_Drosophila_subobscura_part2_of2,0.91511,0.6434426229508197,1.772714998
P005064008787_Drosophila_albomicans_part1_of2,P005097009271_Drosophila_subobscura_part1_of1,0.905,0.6666666666666667,1.8552984840000002
P005064008787_Drosophila_albomicans_part1_of2,P005098006594_Drosophila_subpulchrella_part1_of2,0.8953,0.680327868852459,1.973788869
P005064008787_Drosophila_albomicans_part1_of2,P005098006594_Drosophila_subpulchrella_part2_of2,0.92045,0.43724696356275305,0.9755920610000001
P005064008787_Drosophila_albomicans_part1_of2,P005099002466_Drosophila_suzukii_part1_of1,0.91012,0.4412955465587044,0.982900413
P005064008787_Drosophila_albomicans_part1_of2,P005099007453_Drosophila_suzukii_part1_of1,0.9026,0.6844262295081966,1.9940986470000002
P005064008787_Drosophila_albomicans_part1_of2,P005100011380_Drosophila_takahashii_part1_of2,0.87704,0.6762295081967213,1.9855430390000002
P005064008787_Drosophila_albomicans_part1_of2,P005100011380_Drosophila_takahashii_part2_of2,0.91759,0.45344129554655865,0.980746349
P005064008787_Drosophila_albomicans_part1_of2,P005101009090_Drosophila_teissieri_part1_of1,0.89644,0.6707818930041152,1.969849137
P005064008787_Drosophila_albomicans_part1_of2,P005101009092_Drosophila_teissieri_part1_of1,0.9143,0.44534412955465585,0.980863896
P005064008787_Drosophila_albomicans_part1_of2,P005102009205_Drosophila_virilis_part1_of1,0.885,0.6694214876033058,2.018118276
P005064008787_Drosophila_albomicans_part1_of2,P005102009206_Drosophila_virilis_part1_of1,0.95623,0.2682926829268293,0.423162053
P005064008787_Drosophila_albomicans_part1_of2,P005103011421_Drosophila_willistoni_part1_of1,0.94321,0.36734693877551017,0.6185726579999999
P005064008787_Drosophila_albomicans_part1_of2,P005103011422_Drosophila_willistoni_part1_of1,0.87785,0.6666666666666667,1.934979356
P005064008787_Drosophila_albomicans_part1_of2,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.96629,0.44534412955465585,0.982615986
P005064008787_Drosophila_albomicans_part2_of2,B4KE22_Drosophila_mojavensisREF_part1_of1,0.87154,0.8,2.9585649370000002
P005064008787_Drosophila_albomicans_part2_of2,P005064008787_Drosophila_albomicans_part1_of2,0.90621,0.44715447154471544,0.852182497
P005064008787_Drosophila_albomicans_part2_of2,P005064013138_Drosophila_albomicans_part1_of1,0.88392,0.7053941908713692,2.202175089
P005064008787_Drosophila_albomicans_part2_of2,P005065001328_Drosophila_ananassae_part1_of2,0.92142,0.5121951219512195,1.314869691
P005064008787_Drosophila_albomicans_part2_of2,P005065001328_Drosophila_ananassae_part2_of2,0.90746,0.6829268292682926,2.076246308
P005064008787_Drosophila_albomicans_part2_of2,P005065003751_Drosophila_ananassae_part1_of1,0.89563,0.7272727272727273,2.1642111849999996
P005064008787_Drosophila_albomicans_part2_of2,P005066011807_Drosophila_arizonae_part1_of2,0.88895,0.7178423236514523,2.272849914
P005064008787_Drosophila_albomicans_part2_of2,P005066011807_Drosophila_arizonae_part2_of2,0.85699,0.4502164502164502,0.842972685
P005064008787_Drosophila_albomicans_part2_of2,P005067004171_Drosophila_biarmipes_part1_of1,0.90031,0.7396694214876033,2.1883271300000002
P005064008787_Drosophila_albomicans_part2_of2,P005067004172_Drosophila_biarmipes_part1_of1,0.8884,0.47560975609756095,1.414594615
P005064008787_Drosophila_albomicans_part2_of2,P005068011778_Drosophila_bipectinata_part1_of2,0.89399,0.7272727272727273,2.156868335
P005064008787_Drosophila_albomicans_part2_of2,P005068011778_Drosophila_bipectinata_part2_of2,0.89635,0.5447154471544715,1.349598605
P005064008787_Drosophila_albomicans_part2_of2,P005070006661_Drosophila_bunnanda_part1_of1,0.88151,0.5178571428571428,1.50227439
P005064008787_Drosophila_albomicans_part2_of2,P005070006662_Drosophila_bunnanda_part1_of1,0.91121,0.7272727272727273,2.097106675
P005064008787_Drosophila_albomicans_part2_of2,P005071004180_Drosophila_busckii_part1_of1,0.85805,0.7098214285714286,2.159983452
P005064008787_Drosophila_albomicans_part2_of2,P005071007432_Drosophila_busckii_part1_of1,0.87505,0.48,0.9345860029999999
P005064008787_Drosophila_albomicans_part2_of2,P005072008715_Drosophila_elegans_part1_of1,0.90057,0.7396694214876033,2.167579635
P005064008787_Drosophila_albomicans_part2_of2,P005072008716_Drosophila_elegans_part1_of1,0.90361,0.4796747967479674,1.348552604
P005064008787_Drosophila_albomicans_part2_of2,P005073012561_Drosophila_erecta_part1_of1,0.8802,0.5121951219512195,1.366641434
P005064008787_Drosophila_albomicans_part2_of2,P005074010565_Drosophila_eugracilis_part1_of1,0.89671,0.5,1.386922172
P005064008787_Drosophila_albomicans_part2_of2,P005074010571_Drosophila_eugracilis_part1_of1,0.89778,0.731404958677686,2.141550683
P005064008787_Drosophila_albomicans_part2_of2,P005075007245_Drosophila_ficusphila_part1_of1,0.88281,0.7396694214876033,2.193525766
P005064008787_Drosophila_albomicans_part2_of2,P005076010725_Drosophila_grimshawi_part1_of1,0.8251,0.5527426160337553,1.173133398
P005064008787_Drosophila_albomicans_part2_of2,P005076010744_Drosophila_grimshawi_part1_of1,0.88927,0.7261410788381742,2.272422603
P005064008787_Drosophila_albomicans_part2_of2,P005076010745_Drosophila_grimshawi_part1_of1,0.90703,0.49186991869918695,0.9650363710000001
P005064008787_Drosophila_albomicans_part2_of2,P005077009626_Drosophila_guanche_part1_of1,0.91295,0.5365853658536586,1.274764363
P005064008787_Drosophila_albomicans_part2_of2,P005077011090_Drosophila_guanche_part1_of1,0.90151,0.5365853658536586,1.274764363
P005064008787_Drosophila_albomicans_part2_of2,P005077011621_Drosophila_guanche_part1_of1,0.88394,0.7107438016528926,2.0774840130000003
P005064008787_Drosophila_albomicans_part2_of2,P005078005510_Drosophila_hydei_part1_of1,0.92228,0.4512195121951219,0.92171317
P005064008787_Drosophila_albomicans_part2_of2,P005078006118_Drosophila_hydei_part1_of1,0.88211,0.7178423236514523,2.242554503
P005064008787_Drosophila_albomicans_part2_of2,P005079010340_Drosophila_innubila_part1_of1,0.89772,0.4390243902439024,0.6537071
P005064008787_Drosophila_albomicans_part2_of2,P005079011844_Drosophila_innubila_part1_of2,0.89659,0.7344398340248963,2.199076895
P005064008787_Drosophila_albomicans_part2_of2,P005079011844_Drosophila_innubila_part2_of2,0.87713,0.4473684210526315,0.8420526909999999
P005064008787_Drosophila_albomicans_part2_of2,P005080010494_Drosophila_ironensis_part1_of1,0.90743,0.71900826446281,2.1706363179999997
P005064008787_Drosophila_albomicans_part2_of2,P005080010499_Drosophila_ironensis_part1_of1,0.88018,0.5089285714285714,1.423177789
P005064008787_Drosophila_albomicans_part2_of2,P005080012110_Drosophila_ironensis_part1_of1,0.90401,0.5043478260869565,1.504531508
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part1_of3,0.89555,0.7272727272727273,2.099764361
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part2_of3,0.8175,0.5480769230769231,1.596506041
P005064008787_Drosophila_albomicans_part2_of2,P005081003743_Drosophila_kikkawai_part3_of3,0.88516,0.5387755102040817,1.470215975
P005064008787_Drosophila_albomicans_part2_of2,P005081004694_Drosophila_kikkawai_part1_of1,0.89728,0.5591836734693878,1.5714023240000001
P005064008787_Drosophila_albomicans_part2_of2,P005082012188_Drosophila_mauritiana_part1_of1,0.89941,0.7231404958677685,2.158126058
